"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","1","","setChainPhraseHexKeys","","setChainPhraseHexKeys","updates the chains with the hexadecimal value representing the index of the phrase in the phrase map","updates the chains with the hexadecimal value representing the index of the phrase in the phrase map",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","0","","getDeltaAsHex","","getDeltaAsHex","returns a negative delta as that delta subtracted from 256 in hex","returns a negative delta as that delta subtracted from 256 in hex","Creates hexadecimal value for transpose used in LSDJ table"
"passed","Thu Feb 02 00:56:26 GMT 2023","Thu Feb 02 00:56:26 GMT 2023","5","","setPhraseHexKeys","","setPhraseHexKeys","updates the phrase key with the hexadecimal index of the phrase in the phrase map","updates the phrase key with the hexadecimal index of the phrase in the phrase map",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","3","","getTrackChains","","getTrackChains","creates an array of chains from the list of phrases","creates an array of chains from the list of phrases",""
"passed","Thu Feb 02 00:56:25 GMT 2023","Thu Feb 02 00:56:25 GMT 2023","4","","getTablesForPhraseTriplets","","getTablesForPhraseTriplets","extracts a map of tables from the triplets in the phrase notes","extracts a map of tables from the triplets in the phrase notes","Creates a map of tables for triplets/sextuplets across phrases in track"
"passed","Thu Feb 02 00:56:26 GMT 2023","Thu Feb 02 00:56:26 GMT 2023","4","","getPhraseAsMap","","getPhraseAsMap","creates a key value pair based on the base64 hash of notes in the phrase","creates a key value pair based on the base64 hash of notes in the phrase","Create a map of phrases so can reduce list down to unique phrases"
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","5","","getTrackEvents","","getTrackEvents","counts up the ticks for each event so they can be plotted in absolute time","counts up the ticks for each event so they can be plotted in absolute time",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","5","","processPhrases","","processPhrases","Removes duplicate phrases and updates the chain map to point duplicates to the first instance","Removes duplicate phrases and updates the chain map to point duplicates to the first instance",""
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","5","","Getting noteOn events in track","","Getting noteOn events in track","returns noteOn events only","returns noteOn events only",""
"passed","Thu Feb 02 00:56:25 GMT 2023","Thu Feb 02 00:56:25 GMT 2023","1","","getTablesForPhraseTriplets","","getTablesForPhraseTriplets","does not add an entry if no triplets in track","does not add an entry if no triplets in track","Creates a map of tables for triplets/sextuplets across phrases in track"
